2022-02-13 09:40:47.823 INFO  [15228] [main@8] Game Started
2022-02-13 10:45:29.460 INFO  [21335] [main@8] Game Started
2022-02-13 10:46:12.101 INFO  [21452] [main@8] Game Started
2022-02-13 10:48:05.226 INFO  [21679] [main@8] Game Started
2022-02-13 10:49:41.623 INFO  [21818] [main@8] Game Started
2022-02-13 10:52:29.376 INFO  [22054] [main@8] Game Started
2022-02-13 11:14:27.652 INFO  [24175] [main@8] Game Started
2022-02-13 11:21:38.870 INFO  [25006] [main@8] Game Started
2022-02-13 11:21:57.617 INFO  [25046] [main@8] Game Started
2022-02-13 11:32:30.072 INFO  [26360] [main@8] Game Started
2022-02-13 11:36:26.798 INFO  [26653] [main@8] Game Started
2022-02-13 11:37:18.956 INFO  [26751] [main@8] Game Started
2022-02-13 11:44:31.638 INFO  [27297] [main@8] Game Started
2022-02-13 11:45:08.815 INFO  [27425] [main@8] Game Started
2022-02-13 11:54:06.414 INFO  [28720] [main@8] Game Started
2022-02-13 11:55:13.969 INFO  [28869] [main@8] Game Started
2022-02-13 11:56:05.996 INFO  [29045] [main@8] Game Started
2022-02-13 11:57:41.866 INFO  [29170] [main@8] Game Started
2022-02-13 11:59:45.368 INFO  [29548] [main@8] Game Started
2022-02-13 12:00:56.021 INFO  [29724] [main@8] Game Started
2022-02-13 12:01:36.532 INFO  [29837] [main@8] Game Started
2022-02-13 12:03:03.538 INFO  [29984] [main@8] Game Started
2022-02-13 12:04:06.928 INFO  [30148] [main@8] Game Started
2022-02-13 12:06:33.024 INFO  [30395] [main@8] Game Started
2022-02-13 12:09:04.629 INFO  [30669] [main@8] Game Started
2022-02-13 12:15:48.395 INFO  [31545] [main@8] Game Started
2022-02-13 12:16:44.472 INFO  [31624] [main@8] Game Started
2022-02-13 12:18:20.397 INFO  [31920] [main@8] Game Started
2022-02-13 12:19:14.091 INFO  [32015] [main@8] Game Started
2022-02-13 12:20:05.098 INFO  [32153] [main@8] Game Started
2022-02-13 12:20:34.439 INFO  [32297] [main@8] Game Started
2022-02-13 12:21:13.490 INFO  [32395] [main@8] Game Started
2022-02-13 12:22:15.453 INFO  [32520] [main@8] Game Started
2022-02-13 12:22:37.774 INFO  [32627] [main@8] Game Started
2022-02-13 12:23:37.901 INFO  [32802] [main@8] Game Started
2022-02-13 12:24:18.413 INFO  [32951] [main@8] Game Started
2022-02-13 12:25:04.690 INFO  [33030] [main@8] Game Started
2022-02-13 12:25:18.662 INFO  [33081] [main@8] Game Started
2022-02-13 12:26:21.866 INFO  [33229] [main@8] Game Started
2022-02-13 12:29:44.111 INFO  [33549] [main@8] Game Started
2022-02-13 12:30:23.305 INFO  [33645] [main@8] Game Started
2022-02-13 12:30:55.891 INFO  [33768] [main@8] Game Started
2022-02-13 12:31:16.566 INFO  [33829] [main@8] Game Started
2022-02-13 12:31:39.047 INFO  [33906] [main@8] Game Started
2022-02-13 12:33:15.245 INFO  [34109] [main@8] Game Started
2022-02-13 12:35:43.498 INFO  [34408] [main@8] Game Started
2022-02-13 12:36:57.709 INFO  [34642] [main@8] Game Started
2022-02-13 12:38:02.934 INFO  [34735] [main@8] Game Started
2022-02-13 12:38:50.698 INFO  [34827] [main@8] Game Started
2022-02-13 12:40:57.553 INFO  [35148] [main@8] Game Started
2022-02-13 12:42:11.342 INFO  [35389] [main@8] Game Started
2022-02-13 12:43:15.023 INFO  [35505] [main@8] Game Started
2022-02-13 12:44:56.900 INFO  [35584] [main@8] Game Started
2022-02-13 12:54:45.656 INFO  [37174] [main@8] Game Started
2022-02-13 12:55:54.475 INFO  [37320] [main@8] Game Started
2022-02-13 12:56:38.430 INFO  [37392] [main@8] Game Started
2022-02-13 12:57:08.575 INFO  [37465] [main@8] Game Started
2022-02-13 12:57:50.378 INFO  [37529] [main@8] Game Started
2022-02-13 12:59:11.378 INFO  [37725] [main@8] Game Started
2022-02-13 13:01:19.291 INFO  [38002] [main@8] Game Started
2022-02-13 13:01:50.480 INFO  [38077] [main@8] Game Started
2022-02-13 13:02:37.579 INFO  [38247] [main@8] Game Started
2022-02-13 13:03:21.977 INFO  [38343] [main@8] Game Started
2022-02-13 13:08:40.925 INFO  [38962] [main@8] Game Started
2022-02-13 13:09:11.488 INFO  [39058] [main@8] Game Started
2022-02-13 13:09:48.834 INFO  [39161] [main@8] Game Started
2022-02-13 13:11:27.116 INFO  [39527] [main@8] Game Started
2022-02-13 13:35:43.142 INFO  [42726] [main@8] Game Started
2022-02-13 13:38:46.043 INFO  [43148] [main@8] Game Started
2022-02-13 13:41:05.348 INFO  [43520] [main@8] Game Started
